N,P,K,temperature,humidity,pH,crop,Crop_N_kg_per_ha,Crop_P2O5_kg_per_ha,Crop_K2O_kg_per_ha,N_dosage_kg_per_ha,P2O5_dosage_kg_per_ha,K2O_dosage_kg_per_ha,Dosage_Notes,dosage
80,45,45,20,60.41,6.5,wheat,120,60,40,120,60,40,Broadcasting (Medium feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Broadcasting (Medium feeder)"
7,77,18,20.5591255,60.54880693,6.655918078,pigeonpeas,114.26962312269764,57.27897421365826,62.18192122414282,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
167.68160240485042,10.338957237527223,142.39419460219497,28.022677905190086,60.47376813569087,6.564697194945119,mulberry,104.09259223436894,61.54369120016488,63.28072247245591,275.8488071746458,108.57175552934802,69.65340535222717,Standard Application,"N: 275.85 kg/ha, P2O5: 108.57 kg/ha, K2O: 69.65 kg/ha. Notes: Standard Application"
94.16592969558204,18.78204052214152,60.99186889896488,24.235989736687703,77.49898277612934,6.206816378322349,watermelon,99.11548894,59.08295703275581,55.52244622498733,21.451079842227216,29.10109521710384,57.46164301326361,Standard Application,"N: 21.45 kg/ha, P2O5: 29.10 kg/ha, K2O: 57.46 kg/ha. Notes: Standard Application"
46.921326910189066,17.108115707101586,0,23.05922392292743,59.10712775838597,5.694639361,moong,23.668610074010587,30.23760006442729,17.614501684390266,20,29.653641199174302,10,Standard Application,"N: 0.00 kg/ha, P2O5: 29.65 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
40,55,75,35,60.41,5.5,ginger,100,60,60,100,75,125,Standard Application,"N: 100.00 kg/ha, P2O5: 75.00 kg/ha, K2O: 125.00 kg/ha. Notes: Standard Application"
90,55,50,20,60.41,7.5,wheat,120,60,40,120,60,40,Broadcasting (Medium feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Broadcasting (Medium feeder)"
11.095812424203508,58.26820428857548,32.789068376068634,33.81787276407817,66.47087749260749,6.882397089598059,tur,16.01046906100052,40.32074577136605,17.807014664090662,30.103980542516904,33.67593921423074,28.041947006289977,Standard Application,"N: 30.10 kg/ha, P2O5: 33.68 kg/ha, K2O: 28.04 kg/ha. Notes: Standard Application"
28.590847800374068,46.46596038177264,32.528843932525305,22.29193688,59.60284016026465,5.655728941525308,gram,0,40.221966451064745,22.67474083328778,20,37.78067456885879,57.04521230004484,Standard Application,"N: 0.00 kg/ha, P2O5: 37.78 kg/ha, K2O: 57.05 kg/ha. Notes: Standard Application"
55,45,60,25,60.41,5.5,ginger,100,60,60,100,75,125,Standard Application,"N: 100.00 kg/ha, P2O5: 75.00 kg/ha, K2O: 125.00 kg/ha. Notes: Standard Application"
106,20,51,29.73019662,90.97015715,6.342573112,muskmelon,100,60,60,80,40,60,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
38.19090097517642,32.589452539707665,35.55446196440339,28.818816312619244,61.70334491311098,6.850874084393653,soybean,34.65674247574045,47.53219342547591,19.99709733196296,20,50.52103792817194,125.76724045993198,Standard Application,"N: 18.21 kg/ha, P2O5: 50.52 kg/ha, K2O: 125.77 kg/ha. Notes: Standard Application"
11.13510378556636,5.761929148407303,0,6.935337790230252,89.40673625,7.620006633743683,orange,116.81051210391402,56.73481730168649,61.98524144320567,300,150,257.87570870708487,Standard Application,"N: 316.52 kg/ha, P2O5: 166.17 kg/ha, K2O: 257.88 kg/ha. Notes: Standard Application"
105.77516893162588,38.52241316105059,0,31.067239719532484,56.14334014,6.713637227068923,urad,24.79499202511225,31.516015296574192,19.000005483418075,20,40,20,Side-dressing (Light-medium feeder),"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
88.19461897765284,7.926306045093582,36.10395383334314,29.477151085553523,96.24279075221833,6.263111158839423,muskmelon,81.75907669,55.31722891009245,63.11799523343682,62.15937784594544,49.024997534158366,126.16736475999518,Standard Application,"N: 62.16 kg/ha, P2O5: 49.02 kg/ha, K2O: 126.17 kg/ha. Notes: Standard Application"
40,35,30,25,60.41,6.5,soybean,25,50,25,25,60,40,Standard Application,"N: 25.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
27.09421822485105,58.63511779219431,57.70454222436127,36.62370872,83.32703146,6.882530387907979,groundnut,164.95794908332002,51.73216632,92.20707901971288,20,44.49221593185082,96.53666321,Standard Application,"N: 11.86 kg/ha, P2O5: 44.49 kg/ha, K2O: 96.54 kg/ha. Notes: Standard Application"
117.6102017,21.33353648061792,97.31288413955546,29.477542187260934,52.90936134571995,4.528991310804295,spinach,130.09212314003847,60.73867146948715,62.27571019679933,140,60,60,Side-dressing (Heavy feeder),"N: 140.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing (Heavy feeder)"
91.32864531195116,1.1358262107524697,52.59910489653155,26.246460479438777,84.18873537,6.630640041903866,watermelon,95.2836182,59.63162334,59.16037019585489,37.18337224451821,12.99680386884333,57.65935035457999,Standard Application,"N: 37.18 kg/ha, P2O5: 13.00 kg/ha, K2O: 57.66 kg/ha. Notes: Standard Application"
18,57,21,27.37659643,63.93927841,6.155915975,lentil,114.26962312269764,57.27897421365826,62.18192122414282,30,60,30,Standard Application,"N: 30.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 30.00 kg/ha. Notes: Standard Application"
51.72761975144365,29.880876906143296,52.90589082370349,25.52619588779052,62.70624668,6.753081325962688,groundnut,37.001306163836766,59.489282573648254,36.648276306503234,20,62.58494381524077,31.69609991866905,Standard Application,"N: 0.00 kg/ha, P2O5: 62.58 kg/ha, K2O: 31.70 kg/ha. Notes: Standard Application"
75.44212264,60.80621050733095,0,34.73981307059372,94.41562166899644,7.397250888512564,papaya,96.31703677597892,59.779641615152514,60.15041643002669,207.7550379187407,150,300,Standard Application,"N: 207.76 kg/ha, P2O5: 251.87 kg/ha, K2O: 607.06 kg/ha. Notes: Standard Application"
0,23.99853874199602,96.42602330689068,24.196855036253503,91.19126910843696,6.717140216659121,pomegranate,102.05963364683248,61.66882679222077,55.36001986,243.1838357135326,118.72571505731683,262.50193935065914,Standard Application,"N: 243.18 kg/ha, P2O5: 118.73 kg/ha, K2O: 262.50 kg/ha. Notes: Standard Application"
140,65,80,20,60.41,7,sugarcane,180,60,120,200,70,120,Standard Application,"N: 200.00 kg/ha, P2O5: 70.00 kg/ha, K2O: 120.00 kg/ha. Notes: Standard Application"
18.140111956538306,29.84747035712663,59.00453952,32.17687301231858,90.11799382376364,7.132586041604855,orange,118.51370719993514,59.05478007575944,51.02210111884966,258.56483444225057,130.5073680041427,286.9429917287062,Standard Application,"N: 258.56 kg/ha, P2O5: 130.51 kg/ha, K2O: 286.94 kg/ha. Notes: Standard Application"
146,37,72,28.76,60.41,6.4,grapes,100,60,60,60,40,80,Standard Application,"N: 60.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 80.00 kg/ha. Notes: Standard Application"
130,11,200,28.76,60.41,6,pomegranate,100,60,60,250,125,250,Standard Application,"N: 250.00 kg/ha, P2O5: 125.00 kg/ha, K2O: 250.00 kg/ha. Notes: Standard Application"
32.11160040907017,119.43777153906792,186.51197173251123,17.660465267483723,85.50661678694736,6.519466167140425,apple,104.9682179147014,62.19270018861863,67.85720208228088,191.6547990888948,66.02762160957556,263.7502652994466,Standard Application,"N: 191.65 kg/ha, P2O5: 66.03 kg/ha, K2O: 263.75 kg/ha. Notes: Standard Application"
111,5,47,28.03306461,91.47355778,6.274452811,muskmelon,100,60,60,80,40,60,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
71.27041204199568,54.50988653,33.76812454847569,24.458371312195183,79.51897143,6.191851438890818,jute,100.33313428827908,59.89552512,58.78553870343121,80.50326907818003,37.09886918629565,50.39790452790213,Standard Application,"N: 80.50 kg/ha, P2O5: 37.10 kg/ha, K2O: 50.40 kg/ha. Notes: Standard Application"
116.3818285066734,65.58322447141448,144.5913281776309,27.680854799480965,54.781238828066144,4.568144922,mango,104.45948042608786,62.45615300359606,58.34950026769172,246.46067792997653,150,261.14786863780915,Standard Application,"N: 246.46 kg/ha, P2O5: 157.85 kg/ha, K2O: 261.15 kg/ha. Notes: Standard Application"
141.89125080516826,72.18019138948476,14.121597898890812,21.05775787,60.81623718113603,6.7170851642980764,mothbeans,94.27658900960064,56.36205657686685,55.96472652938821,44.49375350833128,49.886801730021695,10,Standard Application,"N: 44.49 kg/ha, P2O5: 49.89 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
139,20.266,99,24.471,50.4,6.548,papaya,125.746,55.198,75.349,250,150,300,Standard Application,"N: 250.00 kg/ha, P2O5: 250.00 kg/ha, K2O: 500.00 kg/ha. Notes: Standard Application"
170,71,186,28.76,60.41,6.1,pomegranate,100,60,60,250,125,250,Standard Application,"N: 250.00 kg/ha, P2O5: 125.00 kg/ha, K2O: 250.00 kg/ha. Notes: Standard Application"
113,32,62,28.76,60.41,5.8,grapes,100,60,60,60,40,80,Standard Application,"N: 60.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 80.00 kg/ha. Notes: Standard Application"
12.868786439110735,10.965987513456849,44.79850654,19.679891888292406,87.14848091757608,7.153621372132249,pomegranate,122.18512534785296,58.51041433605294,56.65782494861023,259.9176116451297,104.70854128251054,300,Standard Application,"N: 259.92 kg/ha, P2O5: 104.71 kg/ha, K2O: 304.49 kg/ha. Notes: Standard Application"
117.9114679,52.04555028700776,65.71186876980549,24.6658145,73.78477194666202,7.158925542724375,jute,94.61997130726536,60.34035268713578,53.27655515090549,111.92742498105814,42.35376289475548,35.413974398226955,Standard Application,"N: 111.93 kg/ha, P2O5: 42.35 kg/ha, K2O: 35.41 kg/ha. Notes: Standard Application"
58.23038754021236,62.27865235925972,47.62591719881665,43.96364157197654,91.90901915519868,6.595910691830882,papaya,101.14172607300696,59.777554822056906,55.891985987416895,231.3052777237634,150,300,Standard Application,"N: 231.31 kg/ha, P2O5: 247.86 kg/ha, K2O: 523.68 kg/ha. Notes: Standard Application"
19.414506074018657,56.49979808429535,80.29844985144656,30.44651878408103,56.59214477927009,7.268407138246181,groundnut,31.14735144584328,56.83503165,37.36197349275104,23.76940279930503,68.81758600737486,32.23160405397014,Standard Application,"N: 23.77 kg/ha, P2O5: 68.82 kg/ha, K2O: 32.23 kg/ha. Notes: Standard Application"
177.7396057871036,16.717530751718982,68.17696866422838,28.91432152,58.57275074843622,6.658848032507049,mulberry,111.7327386378053,61.97760333008013,60.664116602336776,288.42786975815534,142.16095309176876,51.47537646188061,Standard Application,"N: 288.43 kg/ha, P2O5: 142.16 kg/ha, K2O: 51.48 kg/ha. Notes: Standard Application"
132,87,195,28.76,60.41,4.5,mango,120,60,60,250,150,250,Standard Application,"N: 250.00 kg/ha, P2O5: 150.00 kg/ha, K2O: 250.00 kg/ha. Notes: Standard Application"
27.059761087212497,26.46926578,110.91430632604002,32.10708589964461,64.23117717426226,7.208303318444529,turmeric,117.96962697411064,57.958870112013805,63.08427531008223,101.78224303615625,38.000322839777965,77.19129445,Standard Application,"N: 101.78 kg/ha, P2O5: 38.00 kg/ha, K2O: 77.19 kg/ha. Notes: Standard Application"
105,88,54,25.78749808,84.51194224,6.020445317,banana,120,60,60,300,130,300,Standard Application,"N: 400.00 kg/ha, P2O5: 130.00 kg/ha, K2O: 600.00 kg/ha. Notes: Standard Application"
93,22,48,29.12533739,91.52291141,6.776987974,muskmelon,100,60,60,80,40,60,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
72.42322231489638,37.90551747885896,15.232770950324015,33.61415562979036,61.12808149377512,6.507885961911028,tur,12.23032701426906,41.32269292958678,15.403383019644789,20,34.582480410351614,10,Standard Application,"N: 14.43 kg/ha, P2O5: 34.58 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
97,84,183,28.76,60.41,4.6,mango,120,60,60,250,150,250,Standard Application,"N: 250.00 kg/ha, P2O5: 150.00 kg/ha, K2O: 250.00 kg/ha. Notes: Standard Application"
17.39298817758017,47.43783585649953,0,29.751174158850624,54.78766351184791,7.266566601399009,jute,120.06057942262088,53.086174227001074,76.40762583480605,83.96696869558617,42.31506439509664,105.26216270619167,Standard Application,"N: 83.97 kg/ha, P2O5: 42.32 kg/ha, K2O: 105.26 kg/ha. Notes: Standard Application"
82,35,44,26.96656378,78.21047693,6.239011,jute,100,60,60,80,40,40,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
28,26.227,1,24.157,76.444,5.516,cotton,82.068,62.184,45.597,120,60,60,Standard Application,"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
25,20,50,20,60.41,5.5,turmeric,120,60,60,150,60,120,Standard Application,"N: 150.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 120.00 kg/ha. Notes: Standard Application"
47.95700892667351,59.176435981210425,62.49812770423094,43.97906803137035,83.14041944709047,7.089222511420823,papaya,91.93227839,58.998713729981255,63.83353599280836,275.2823004244416,150,300,Standard Application,"N: 275.28 kg/ha, P2O5: 243.74 kg/ha, K2O: 464.60 kg/ha. Notes: Standard Application"
60.27027325695167,36.99839008,14.516315051307958,22.05358797276812,57.74665506281402,5.555393590471294,lettuce,152.22237830642342,71.90234690558268,80.88249545853158,120,60,60,Side-dressing (Medium-heavy feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing (Medium-heavy feeder)"
132.7707421239312,64.25006063,50.00503356395384,33.792870944441844,64.88945978911993,7.606834133,cotton,124.78853502002174,57.92842154364783,57.30396907347018,93.90989346,28.52591768496052,182.8960767300846,Standard Application,"N: 93.91 kg/ha, P2O5: 28.53 kg/ha, K2O: 182.90 kg/ha. Notes: Standard Application"
104.95405538798872,66.92561682,72.51224412258755,29.474236683760555,59.68804542324332,6.535910448,lettuce,142.81858055389603,77.99107803294463,77.96503117011095,120,60,60,Side-dressing (Medium-heavy feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing (Medium-heavy feeder)"
97.01278593092272,27.16593133114086,4.832297915624574,26.887557140509728,65.57126159759677,6.738948863678556,soybean,21.494777502705805,50.43665464918347,18.793999199008784,20,42.337274469599166,10,Standard Application,"N: 7.21 kg/ha, P2O5: 42.34 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
116,71,47,27.57278064,82.0638878,6.435785799,banana,120,60,60,300,130,300,Standard Application,"N: 400.00 kg/ha, P2O5: 130.00 kg/ha, K2O: 600.00 kg/ha. Notes: Standard Application"
20,50,30,35,60.41,7,gram,20,40,20,20,60,40,Standard Application,"N: 20.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
25,15,10,30,60.41,6.5,moong,15,30,15,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
95,30.934,129,23.87,91.483,5.759,mungbean,113.739,75,28.459,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
30,40,30,25,60.41,6,gram,20,40,20,20,60,40,Standard Application,"N: 20.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
47.18346305516124,63.64635421117249,55.96097071139732,24.81891757582918,61.35229926331954,5.489699586419528,ginger,100.5209939209767,60.09087862424759,57.55676421652808,97.84733488,74.23813015575105,127.1103772986385,Standard Application,"N: 97.85 kg/ha, P2O5: 74.24 kg/ha, K2O: 127.11 kg/ha. Notes: Standard Application"
30.418457142057864,82.20926528687943,44.38717319273006,32.470758630944104,74.67258393919627,6.017102221836196,mothbeans,55.50695163788325,67.11224761846967,79.89111565,20,52.51922698903249,30.44439201506517,Standard Application,"N: 0.00 kg/ha, P2O5: 52.52 kg/ha, K2O: 30.44 kg/ha. Notes: Standard Application"
51,85,91,22.364,60.82,7.5,blackgram,125.367,62.305,68.273,25,50,25,Standard Application,"N: 25.00 kg/ha, P2O5: 50.00 kg/ha, K2O: 25.00 kg/ha. Notes: Standard Application"
20.86644369019909,53.11179313788022,19.292695622070354,26.94465889,53.99795600779191,9.422386202245324,mothbeans,12.489713637758788,30.59279863476221,16.610380742466674,20,35.94303428,37.09799774996682,Standard Application,"N: 7.28 kg/ha, P2O5: 35.94 kg/ha, K2O: 37.10 kg/ha. Notes: Standard Application"
0,19.32134787897165,10.647485478259783,24.32592162422119,59.31093969000033,6.509640857413491,moong,3.983346129380319,27.68602685534564,19.227503349982207,20,27.15252072,21.80439705650488,Standard Application,"N: 13.69 kg/ha, P2O5: 27.15 kg/ha, K2O: 21.80 kg/ha. Notes: Standard Application"
11,44,17,26.34043268,55.59160391,8.016210782,mothbeans,15,30,15,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
56.046358373372826,141.31697491528982,253.6216542081081,18.59072248853585,98.61268551,5.786520598618317,apple,104.91025909970364,58.36372926184675,62.04982863883055,156.6935109907855,84.31249869964702,109.36775625632968,Standard Application,"N: 156.69 kg/ha, P2O5: 84.31 kg/ha, K2O: 109.37 kg/ha. Notes: Standard Application"
138,31,90,28.76,60.41,5.7,grapes,100,60,60,60,40,80,Standard Application,"N: 60.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 80.00 kg/ha. Notes: Standard Application"
8,64.642,162,21.902,67.367,5.515,kangkong,106.761,52.259,67.322,150,60,60,Side-dressing / Drenching (Heavy feeder),"N: 150.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing / Drenching (Heavy feeder)"
7,45,22,25.50634557,44.8302551,9.926212291,mothbeans,15,30,15,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
147.2040182788296,93.81569095622623,171.74875835447506,33.00851809249079,67.03894961,6.541012419857456,mango,114.07854804491994,56.41794093863494,58.91521755141351,221.1055823777012,138.54484590520448,300,Standard Application,"N: 221.11 kg/ha, P2O5: 138.54 kg/ha, K2O: 319.53 kg/ha. Notes: Standard Application"
148,62.75,62,24.288,68.974,5.515,moong,111.16,70.443,72.541,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
114,21,55,25.4438391,87.9392312,6.472756256,watermelon,100,60,60,80,40,60,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
53.397589113285406,65.56608150928706,44.81196226278583,27.26856889,92.12116727,6.787085539725682,papaya,102.05551989774132,60.73442055945265,61.96736645192494,249.8963345593908,150,300,Standard Application,"N: 249.90 kg/ha, P2O5: 250.85 kg/ha, K2O: 487.51 kg/ha. Notes: Standard Application"
78.13242858440975,65.42710889312934,15.10014361106342,20.489846016840875,65.59959727629187,5.913613158198119,pomegranate,91.44802529941066,71.07166114805146,69.89035397978031,267.3302977663232,150,220.38405082242647,Standard Application,"N: 267.33 kg/ha, P2O5: 157.12 kg/ha, K2O: 220.38 kg/ha. Notes: Standard Application"
85.66600213416476,75.61582921238332,20.46555786876353,25.81212096282076,80.83772292752637,5.806638648237096,banana,118.87808858758152,59.823243776268434,53.31794302246753,300,116.3414851653423,300,Standard Application,"N: 409.19 kg/ha, P2O5: 116.34 kg/ha, K2O: 542.96 kg/ha. Notes: Standard Application"
100,65.241,23,25.262,63.366,7.5,soybean,176.24,65.344,120,25,60,40,Standard Application,"N: 25.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
1,15,9,29.98364695,94.55239717,7.53350946,orange,120,60,60,300,150,300,Standard Application,"N: 300.00 kg/ha, P2O5: 150.00 kg/ha, K2O: 300.00 kg/ha. Notes: Standard Application"
25,20,5,35,60.41,7,moong,15,30,15,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
61.054553242494976,60.03920341031659,69.63125294210973,35.03482451184354,60.56828001,6.052305194354255,ginger,100.9958198170978,59.60494899682581,58.64434932637288,109.3015774,82.79194333702206,117.00827421573256,Standard Application,"N: 109.30 kg/ha, P2O5: 82.79 kg/ha, K2O: 117.01 kg/ha. Notes: Standard Application"
94.4065997,11.761663887924891,54.12883985152312,27.330562001716544,94.57550271918868,6.211112505477715,muskmelon,105.36396872336836,62.908623694181166,78.75325317044428,121.3194342792817,10,135.69755461554502,Standard Application,"N: 121.32 kg/ha, P2O5: 9.92 kg/ha, K2O: 135.70 kg/ha. Notes: Standard Application"
105,75,45,30,60.41,6.5,cotton,120,60,60,120,60,60,Standard Application,"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
49.00675210836384,50.60265261063444,44.33373304480465,21.64495159608337,61.91519375812351,5.9481257581796525,jowar,86.96491565372007,42.21763056049245,44.79301598464808,47.95777286900925,35.32232298816598,23.12984927806645,Standard Application,"N: 47.96 kg/ha, P2O5: 35.32 kg/ha, K2O: 23.13 kg/ha. Notes: Standard Application"
42.74663374031518,23.60922996596656,62.78309514886295,31.07819594649281,53.43182951616393,6.454318902668152,tur,26.035573449898585,38.91090743905313,15.390938259064356,53.22493294343052,25.118356538659548,10,Standard Application,"N: 53.22 kg/ha, P2O5: 25.12 kg/ha, K2O: 2.51 kg/ha. Notes: Standard Application"
115,75,55,15,60.41,7.5,wheat,120,60,40,120,60,40,Broadcasting (Medium feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Broadcasting (Medium feeder)"
40.29669949428719,10.38515904752482,24.572913047955527,27.42645120137549,94.17911457078507,6.372069802673334,coconut,121.40886489749084,59.29369508839905,60.544370372165744,300,150,300,Standard Application,"N: 494.18 kg/ha, P2O5: 316.79 kg/ha, K2O: 1180.21 kg/ha. Notes: Standard Application"
100,50,55,40,60.41,5.5,kangkong,150,60,60,150,60,60,Side-dressing / Drenching (Heavy feeder),"N: 150.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing / Drenching (Heavy feeder)"
3.1618423367405954,35.716997605512745,0,13.393736261992556,87.97804047,6.707929971556683,orange,124.6843444608368,61.013434486637365,63.40556405470588,300,150,269.1355423164878,Standard Application,"N: 332.64 kg/ha, P2O5: 151.38 kg/ha, K2O: 269.14 kg/ha. Notes: Standard Application"
125,80,50,25,60.41,7.5,lettuce,150,75,75,120,60,60,Side-dressing (Medium-heavy feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing (Medium-heavy feeder)"
28,62.93,1,22.016,54.828,6.481,mango,104.302,51.761,50.368,250,150,250,Standard Application,"N: 250.00 kg/ha, P2O5: 150.00 kg/ha, K2O: 250.00 kg/ha. Notes: Standard Application"
8,40.258,117,18.178,68.755,7.448,tur,107.083,44.29,55.299,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
17.04658224433219,8.695924951,6.667395794244818,24.08182496816569,90.37028962,7.636512370802735,orange,116.18848269468458,59.95945927749593,57.583231314856754,300,150,290.6064735140675,Standard Application,"N: 307.35 kg/ha, P2O5: 150.10 kg/ha, K2O: 290.61 kg/ha. Notes: Standard Application"
22.651485544144467,29.464151034614567,38.13667063,29.68064166408968,59.78136461800624,6.479244335533649,turmeric,119.3342675184902,59.40181423394489,61.98821650065271,139.3941479892653,58.89162141890465,131.4997578135139,Standard Application,"N: 139.39 kg/ha, P2O5: 58.89 kg/ha, K2O: 131.50 kg/ha. Notes: Standard Application"
126.31675457781031,40.32488434709361,9.359316773266718,27.394303308253896,85.07871432228329,7.605849836917334,cotton,118.9895511522536,58.42712525,60.86345375,72.98183704271243,49.22649273642921,66.07045167806318,Standard Application,"N: 72.98 kg/ha, P2O5: 49.23 kg/ha, K2O: 66.07 kg/ha. Notes: Standard Application"
40,30,25,25,60.41,6,urad,15,30,15,20,40,20,Side-dressing (Light-medium feeder),"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
57.30747742736982,57.44726258230166,44.29629683,30.20986476403992,61.67521550786866,7.017558387101576,turmeric,119.28283134633654,59.68492279198066,60.17202321096482,157.0773534743499,61.64270446,128.2661747221948,Standard Application,"N: 157.08 kg/ha, P2O5: 61.64 kg/ha, K2O: 128.27 kg/ha. Notes: Standard Application"
34,47,19,27.31372793,85.44815232,6.568795404,mungbean,114.26962312269764,57.27897421365826,62.18192122414282,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
65,41.326,1,35,49.056,7.5,turmeric,93.584,71.773,54.206,150,60,120,Standard Application,"N: 150.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 120.00 kg/ha. Notes: Standard Application"
40,20,25,20,60.41,5.5,tur,20,40,20,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
10,55,23,21.18853178,19.63438599,5.728233081,kidneybeans,25,40,25,25,45,20,Side-dressing (Light-medium feeder),"N: 25.00 kg/ha, P2O5: 45.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
45.56079187956422,60.12678542,18.91580669396017,16.016287804767597,12.536326569041416,5.413114209587248,kidneybeans,33.80564861005577,40.740363821349774,22.34689999,25,45,20,Side-dressing (Light-medium feeder),"N: 25.00 kg/ha, P2O5: 45.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
31,5,14,17.66545409,91.69865887,6.583411671,orange,120,60,60,300,150,300,Standard Application,"N: 300.00 kg/ha, P2O5: 150.00 kg/ha, K2O: 300.00 kg/ha. Notes: Standard Application"
32,129,201,16.36251869,83.00471609,6.48754639,grapes,100,60,60,60,40,80,Standard Application,"N: 60.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 80.00 kg/ha. Notes: Standard Application"
56.84361348346606,63.452631494271024,43.57157626896142,27.61633732197045,92.10626409313504,6.731604805711391,papaya,101.42604409431694,60.14027781526596,58.72486866,264.0207859266819,150,300,Standard Application,"N: 264.02 kg/ha, P2O5: 246.31 kg/ha, K2O: 521.86 kg/ha. Notes: Standard Application"
70,40,20,30,60.41,7.5,urad,15,30,15,20,40,20,Side-dressing (Light-medium feeder),"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
95,88,52,28.00316034,78.90085998,6.235461772,banana,120,60,60,300,130,300,Standard Application,"N: 400.00 kg/ha, P2O5: 130.00 kg/ha, K2O: 600.00 kg/ha. Notes: Standard Application"
